CURRENT_DEPARTMENT,CURRENT_JOB_TITLE,PREVIOUS_DEPARTMENT,PREVIOUS_JOB_TITLE,COURSE,DATE,SKILL
,,,PMO Team Leader TLT,Introduction to Data Analytics,2021-09-26T06:06:33.000Z,
Engineering,IP & Transport NOC Engineer Team Member,,NOC Engineer,Graphic Design,2023-10-26T14:28:15.000Z,
Consumer Business,Aqaba Shop Division Leader,Enterprise Business,Key Account's Manager TM,Digital Transformation,2022-03-30T22:37:39.000Z,
Commercial Support Department,Customer Service Operation Excellence Senior Team Member,Commercial Support Department,Customer Service Operation,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2022-11-19T20:12:43.000Z,
Enterprise Business,SMEs/SOHOs Account's Senior Team Member,,SMEs/SOHOs  Account's Manager TM,Write Professional Emails in English,2021-11-18T18:38:35.000Z,
Commercial Support Department,Data Base Credit Control Senior Professional,Commercial Support Department,Data Base Credit Control Professional,Demand Analytics,2022-02-01T06:39:39.000Z,
,,Technology and Digital Innovation,Business Analysis Team Member- TM,Practices of Digital Transformation,2021-08-26T17:59:20.000Z,
Engineering,Network Operations Center Senior Manager,Engineering,Network Operations Center Manager,Introduction to Data Analytics,2022-11-22T16:21:51.000Z,
Enterprise Business,Sales Back Office  Professional,Enterprise Business,Sales Back Office TM,Just Reading and Writing English 1,2022-09-14T09:07:50.000Z,
Engineering,RAN Planning Engineer Senior Professional,Engineering,RAN Planning Engineer Team Member,Negotiation  Fundamentals,2022-02-26T22:37:06.000Z,
Technology and Digital Innovation,SAN & UNIX Team Member,Technology and Digital Innovation,SAN & UNIX Team Member TM,AWS Cloud Technical Essentials,2023-09-20T11:22:37.000Z,
Engineering,Transmission Enterprise solutions Engineer Team Member,Engineering,Transmission Enterprise solutions Engineer,Using Python to Access Web Data,2022-12-27T20:14:49.000Z,
Engineering,RAN Planning Senior Division Leader,Engineering,RAN Planning Team Leader,Simulation Skills: This is Your Brain on the Future,2022-05-29T15:33:14.000Z,
Consumer Business,GSM Postpaid Segment Senior Team Member,Consumer Business,GSM Postpaid Segment Team Member,Research Report: Delivering Insights,2023-10-03T19:38:27.000Z,
Enterprise Business,Enterprise Presales Senior Professional,Enterprise Business,Enterprise Presales Professional,Business English: Meetings,2022-06-23T18:20:17.000Z,
Consumer Business,Safeway 7th Circle Shop Senior Division Leader,Consumer Business,Abdoun Shop Manager TL,Introduction to Data Analytics,2022-07-31T09:10:31.000Z,
Engineering,Transmission Enterprise solutions Engineer Team Member,Engineering,Transmission Enterprise solutions Engineer,Using Python to Access Web Data,2022-12-14T13:15:50.000Z,
Engineering,PMO Senior Team Member,Engineering,RAN Optimization Engineer,Using Python to Access Web Data,2022-12-19T10:42:22.000Z,
Engineering,RAN Optimization Engineer Senior Team Member,Engineering,RAN Optimization Engineer,Python Data Structures,2022-11-29T16:11:09.000Z,
Technology and Digital Innovation,DevOps & Billing Systems Engineer Team Member,Technology and Digital Innovation,DevOps & Billing Systems Engineer,Introduction to Cloud Computing,2024-02-10T21:28:10.000Z,
Commercial Support Department,Service Home Internet Solution & Social Media Senior Division Leader,Commercial Support Department,Digital Care & Technical Customer Service Center Team Leader,Introduction to Data Analytics,2023-11-15T12:23:20.000Z,
Engineering,Core Network Switching Engineer Senior Team Member,Engineering,Core Network Switching Engineer,Introduction to Data Analytics,2022-11-07T09:10:26.000Z,
Finance,General Ledger Professional,Finance,Accounts Receivable Team Member,Competitive Strategy,2022-07-21T13:51:43.000Z,
Consumer Business,Prepaid MBB Senior Specialist,,Prepaid GSM & MBB Team Leader TLT,Data Visualization and Dashboards with Excel and Cognos,2022-11-15T11:56:25.000Z,
Engineering,Backbone & Optical Network Team Member,Engineering,Backbone & Optical Network Team Member,Python Data Structures,2022-12-24T14:18:57.000Z,
Finance,Archiving Senior Professional,Finance,Logistics Team Member,Organizational Behavior: How to Manage People,2022-09-08T07:52:56.000Z,
Engineering,RAN Configuration Engineer Senior Professional,Engineering,RAN Configuration Engineer,Forecasting Skills: See the Future Before it Happens,2022-02-24T13:00:14.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Senior Professional,Commercial Support Department,Help Desk GSM Professional,Business Writing,2022-04-22T12:51:26.000Z,
Consumer Business,Prepaid Segment Manager,,Pricing & Business Intelligence Team Leader.-,Quantitative Methods in Finance,2022-01-20T12:06:59.000Z,
Consumer Business,Sales Development Account Senior Professional,Consumer Business,Sales Development Account Manager PR,"Identifying, Attracting, and Growing Your Digital Audience",2022-01-11T22:19:34.000Z,
Enterprise Business,Handling & Distribution Analyst Senior Professional,Enterprise Business,Handling & Distribution Analyst Professional PR,ظ…ظ‡ط§ط±ط© ظ…ط®ط§ط·ط¨ط© ط§ظ„ط¬ظ…ظ‡ظˆط± | Public Speaking Skills,2023-07-26T10:03:49.000Z,
Consumer Business,International Gateway Senior Professional,Consumer Business,International Gateway Team Member,Assessment for Data Analysis and Visualization Foundations,2022-05-23T11:48:03.000Z,
Commercial Support Department,Customer Complaints Executive Manager,Commercial Support Department,Help Desk Manager,Graphic Design,2022-06-11T11:34:23.000Z,
Consumer Business,Prepaid MBB Senior Specialist,,Prepaid GSM & MBB Team Leader TLT,Introduction to Data Analytics,2022-11-10T08:34:56.000Z,
,,Finance,Accounts Receivable Team Member,Competitive Strategy,2021-11-05T14:59:26.000Z,
Human Resources and Administration,Administration General Services and Support Division Leader,Human Resources and Administration,Administration Service and Support TM,"Leadership in Multinational, Cross-Cultural Teams",2023-07-04T05:02:09.000Z,
Consumer Business,Distribution & System Support Senior Team Member,Consumer Business,Distribution & System Support Team Member,Teamwork Skills: Communicating Effectively in Groups,2023-08-07T15:18:24.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Professional,Commercial Support Department,Help Desk GSM Professional,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2022-04-19T18:27:47.000Z,
Finance,Revenue Assurance and Fraud Senior Manager,Finance,Revenue Assurance Team Leader,Managing Data Analysis,2022-07-26T13:11:42.000Z,
Consumer Business,Al Huria Street Shop Senior Division Leader,Consumer Business,Wehdat Shop Manager TL,Managing Data Analysis,2022-02-20T12:54:15.000Z,
,,,DevOps & VAS Engineer,Negotiation skills: Negotiate and resolve conflict,2022-05-30T07:52:59.000Z,
Engineering,RAN Optimization Senior Division Leader,Engineering,RAN Optimization Team Leader,International and Cross-Cultural Negotiation,2022-02-20T20:11:34.000Z,
Human Resources and Administration,Organizational Development - Division Leader,Human Resources and Administration,Organization Development Team Leader-,Fundamentals of Organization,2022-10-31T17:00:36.000Z,
Engineering,RAN Optimization Engineer PT,,RAN Optimization Intern,Programming for Everybody (Getting Started with Python),2022-11-26T11:15:06.000Z,
Human Resources and Administration,HR Communications and Youth Team Member,Human Resources and Administration,HR Communications and Youth Team Member,Business Writing,2022-11-17T16:28:57.000Z,
Enterprise Business,SMEs/SOHOs Account's Team Member,,SMEs/SOHOs  Account's Manager TM,ظ…ظ‡ط§ط±ط© ظ…ط®ط§ط·ط¨ط© ط§ظ„ط¬ظ…ظ‡ظˆط± | Public Speaking Skills,2023-07-17T08:09:30.000Z,
Finance,Logistics Manager,,Logistics Expert,Building Your Leadership Skills,2021-12-05T01:30:32.000Z,
Finance,,Finance,General Ledger Team Member,Data-Driven Decisions with Power BI,2023-05-28T11:02:10.000Z,
Enterprise Business,Special Project Sales Manager / TT,Enterprise Business,Special Project Sales Manager,ظ…ظ‡ط§ط±ط© ظ…ط®ط§ط·ط¨ط© ط§ظ„ط¬ظ…ظ‡ظˆط± | Public Speaking Skills,2023-05-07T07:08:10.000Z,
Engineering,FTTH Activation Engineer Senior Team Member,,FTTH Activation Engineer PT,"Ready, Set, Future! Introduction to Futures Thinking",2022-03-22T05:31:36.000Z,
Enterprise Business,SMEs/SOHOs Account's Professional,,SMEs/SOHOs  Account's Manager,Write Professional Emails in English,2021-11-09T11:27:23.000Z,
Engineering,RAN Configuration Engineer Senior Professional,Engineering,RAN Configuration Engineer,Simulation Skills: This is Your Brain on the Future,2022-02-24T12:58:29.000Z,
Commercial Support Department,Business Services Collection Manager,Commercial Support Department,Business Services Collection Team Leader,"Speak English Professionally: In Person, Online & On the Phone",2023-05-29T02:32:18.000Z,
Consumer Business,Distribution & System Support Senior Team Member,Consumer Business,Distribution & System Support Team Member,Managing Data Analysis,2022-04-08T20:22:18.000Z,
Enterprise Business,Wholesale Data & International Services Senior Professional,Enterprise Business,Wholesale Data & International Services Team Member,Digital Transformation,2022-10-25T06:43:29.000Z,
Enterprise Business,SMEs/SOHOs Account's Professional,,SMEs/SOHOs  Account's Manager,ظ…ظ‡ط§ط±ط© ظ…ط®ط§ط·ط¨ط© ط§ظ„ط¬ظ…ظ‡ظˆط± | Public Speaking Skills,2023-09-07T08:09:21.000Z,
Consumer Business,City Mall Consumer Sales Consultant Team Member,Consumer Business,Amman Mall Consumer Sales Consultant TM,Negotiation  Fundamentals,2022-08-22T03:06:19.000Z,
Engineering,Project Implementation Civil Engineer Senior Team Member,Engineering,Project Implementation Civil Engineer TM,Negotiation  Fundamentals,2021-11-05T05:52:30.000Z,
Consumer Business,Logistics and Project Management Senior Specialist,Consumer Business,Logistics and Project Management Expert,Managing Data Analysis,2021-08-20T16:30:46.000Z,
Consumer Business,Business Simulation Senior Team Member,Consumer Business,Business Simulation Team Member,Digital Transformation,2022-08-23T06:46:23.000Z,
Human Resources and Administration,HR Operations Manager,,HR Operations Team Leader,Data Pipelines with TensorFlow Data Services,2023-10-02T08:40:51.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Senior Team Member,Commercial Support Department,Help Desk Enterprise Helper Team Member TM,Teamwork Skills: Communicating Effectively in Groups,2023-09-20T07:53:37.000Z,
Consumer Business,Sales Development Account Team Member,Consumer Business,Sales Development Account Manager TM,Strategies for Converting and Retaining Customers Online,2022-02-17T21:24:02.000Z,
Technology and Digital Innovation,CRM & Business Systems Manager,,CRM & Business Analyst Developer Team Leader,Agile Leadership: Introduction to Change,2022-09-02T18:06:36.000Z,
Commercial Support Department,Customer Service Advisor PT,Commercial Support Department,Customer Service Advisor PT,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2021-08-10T19:05:56.000Z,
,,Commercial Support Department,Telesales Team Member PT,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2021-10-06T18:52:26.000Z,
,,,NOC Operator,Negotiation  Fundamentals,2021-11-07T17:15:23.000Z,
"Governance, Risk, and Compliance",,,Enterprise Risk Management Intern,Security Operations and Administration,2021-09-03T04:48:15.000Z,
Consumer Business,Data Analysis & Comission Team Member,,Business Intelligence Team Member TM,Foundations for Big Data Analysis with SQL,2021-11-07T09:02:55.000Z,
Engineering,RAN Configuration Professional,Engineering,RAN Configuration Professional,Introduction to Data Analytics,2022-01-19T09:03:06.000Z,
Enterprise Business,Sales Back Office Senior Team Member,Enterprise Business,Sales Back Office TM,ظ…ظ‡ط§ط±ط§طھ ط§ظ„ط¹ط±ط¶ ظˆط§ظ„طھظ‚ط¯ظٹظ… | Presentation Skills,2024-02-13T07:47:30.000Z,
Corporate Communications and Sustainability,Sponsorship Team Member,Corporate Communications and Sustainability,Sponsorship Team Member,Capstone: Applying Project Management in the Real World,2023-01-14T20:09:44.000Z,
Engineering,RAN Optimization Engineer PT,,RAN Optimization Intern,Using Python to Access Web Data,2022-12-19T08:36:10.000Z,
Commercial Support Department,Legal Collection Senior Division Leader,Commercial Support Department,Legal Collection Team Leader,Successful Presentation,2021-11-06T07:08:24.000Z,
,,Consumer Business,Business Simulation Team Member,Assessment for Data Analysis and Visualization Foundations,2022-04-30T06:40:03.000Z,
Enterprise Business,Key Account's Sales Manager,Enterprise Business,Key Account's Sales Manager M,Getting Started with Power BI Desktop,2022-06-17T17:34:07.000Z,
